Brand,Product Name,Rating,No. of Ratings,Discounted Price,Original Price,Discount,Offer Price
Beardo,Whisky Smoke Single Malt Eau De Parfum,4.4,48,₹588,"₹1,200",(51% off),₹514
Embark,Men My Life for Him Citrus & Ambery Luxury Eau De Parfum,4.3,22,"₹1,402","₹1,895",(26% off),"₹1,099"
Bombay Shaving Company,Premium Long Lasting Fragrance Starter kit For Men,2.7,7,₹344,₹649,(47% off),₹301
POLICE,Contemporary Extreme Eau De Toilette for Man,4.1,9,"₹1,600","₹3,200",(50% off),"₹1,312"
ADEN,Men Mystic Tribe Perfume Spray,N/A,N/A,"₹1,590","₹3,000",(47% off),"₹1,230"
DJOKR,Men Perfume Gift Set,3.3,3,₹509,₹849,(40% off),₹356
ADIDAS,Ice Dive Eau De Toilette for Men,3.7,13,"₹1,319","₹1,499",(12% off),"₹1,049"
ADIDAS,Victory League Eau De Toilette for Men,3.4,9,"₹1,319","₹1,499",(12% off),"₹1,049"
Beardo,Tsunami Eau De Parfum,4,154,₹540,"₹1,200",(55% off),₹472
AJMAL,Titanium EDP 100 ml,4,41,"₹1,200","₹1,500",(20% off),₹885
POLICE,To Be Tattoo Art Eau De Toilette,5,4,"₹2,200","₹2,750",(20% off),"₹1,733"
FOGG,Xtremo Eau De Parfum,4,19,₹650,N/A,N/A,₹501
Denver,Rider Eau De Parfum,4.1,10,₹335,₹399,(16% off),₹235
Cantabil,Cantabil Desire Eau De Toilette Perfume,4.1,8,₹609,₹999,(39% off),₹533
NISARA,Game Changer Long Lasting Ambery Woody Fruity EDP for Men,N/A,N/A,₹650,N/A,N/A,₹462
The Man Company,A Gentleman’s Moods Premium Fragrance Gift Set,3.9,42,₹548,₹996,(45% off),₹448
AJMAL,Pack of 2 Blu and Wisal Dhahab Deodorants,4.1,185,₹319,₹798,(60% off),₹263
Ulric De Varens,Eau de Toilette 100 ml,3.4,23,₹999,"₹1,175",(15% off),₹764
The Man Company,Black Eau De Toilette Perfume for Men,4.1,17,₹857,"₹2,598",(67% off),₹779
VILLAIN,Legacy Classic Luxury Premium Long Lasting Fragrance Eau de Perfum for Men,N/A,N/A,₹219,₹399,(45% off),₹184
VILLAIN,Hurricane Hydra Luxury Premium Long Lasting Fragrance Eau De Parfum for Men,N/A,N/A,₹219,₹399,(45% off),₹184
MARYAJ,Deuce Homme Eau De Perfume - 100 ml,3.8,8,₹742,"₹1,649",(55% off),₹577
Beardo,Men Godfather Mafia & Maverick Deo Spray Set,3.6,41,₹319,₹997,(68% off),₹295
Cantabil,Mystic Eau-de Toilette Perfume,3.9,42,₹609,₹999,(39% off),₹533
DEMI DIEUS,Set of 4 Men Eau De Parfume,3.5,2,₹345,"₹1,499",(77% off),₹319
La French,LA' French Classic Eau De Parfum Gift Set,N/A,N/A,₹314,₹849,(63% off),₹275
Ustraa,Ammunition Cologne Perfume,3.9,59,₹575,₹899,(36% off),₹403
Cantabil,Marine Eau-De Toilette Unisex Perfume - 100ml,3.8,19,₹609,₹999,(39% off),₹533
ALFA ROMEO,Blue Eau De Toilette,N/A,N/A,"₹1,750",N/A,N/A,"₹1,348"
Mcaffeine,Fien Men Written By Women Perfume Gift Set for Men,4,3,₹615,₹799,(23% off),₹431
WILD STONE,Night Rider Eau De Parfum for Men,3.7,17,₹199,₹249,(20% off),₹174
AJMAL,Selfie By Ajmal 10 ml,3.9,30,₹300,₹500,(40% off),₹250
SENTIRE,Men Casanova Long Lasting Parfum,N/A,N/A,₹646,₹680,(5% off),₹558
AJMAL,Musk Amber Concentrated Perfume for Men,4.1,18,₹450,₹500,(10% off),₹355
VILLAIN,Unstoppable Mischief Premium Long Lasting Fragrance Eau de Perfum for Men,N/A,N/A,₹219,₹399,(45% off),₹184
WILD STONE,No Gas Perfume Body Spray Pack,4.3,7,₹423,₹650,(35% off),₹345
Beardo,Black Musk Perfume,3.7,234,₹540,"₹1,200",(55% off),₹472
The Man Company,Tranquil Eau De Parfum,4,9,₹449,₹749,(40% off),₹375
DEMI DIEUS,Men Rose Spiced EDP Fragrance 100ML,N/A,N/A,₹312,"₹1,249",(75% off),₹288
The Man Company,Ombre Eau De Parfum,3.9,21,₹270,₹599,(55% off),₹236
Yardley London,Elegance Body Spray for Men,3,2,₹248,₹330,(25% off),₹201
The Man Company,Body Parfum - Bleu,3.6,27,₹299,₹399,(25% off),₹243
NEUD,Milan Da Vinci Luxury Perfume for Cosmopolitan Men Long Lasting Eau de Parfum,N/A,N/A,₹799,N/A,N/A,₹591
Whiskers,Enchanted Eau De Parfum for Men,N/A,N/A,₹519,₹799,(35% off),₹431
DEMI DIEUS,Men Sweet and Warm Luxery Perfume,N/A,N/A,₹312,"₹1,249",(75% off),₹288
Soul & Scents,"SOUL & SCENTS HFS /SS/FRES_PO3, Onesize",N/A,N/A,₹191,₹299,(36% off),₹150
DEMI DIEUS,Set of 4 Men Eau De Parfume Gift Set,N/A,N/A,₹345,"₹1,499",(77% off),₹319
La French,Shield Eau De Parfum For Men,3.5,6,₹189,₹650,(71% off),N/A
PRADA,L'Homme Eau De Toilette,4.8,23,"₹9,000",N/A,N/A,"₹7,000"
AJMAL,Pack of 2 Blu Parfum Deodorants,3.5,11,₹319,₹798,(60% off),₹263
